NEW YORK CITY DEPARTMENT OF INVESTIGATION,,,,,,,,,,
NEW YORK CITY HOUSING AUTHORITY,,,,,,,,,,
OFFICE OF THE INSPECTOR GENERAL,,,,,,,,,,
,,,,,,,,,,
NYCHA'S SMALL PROCUREMENT 2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Procurement Type,Purchase Order Number,Purchase Order Type,Vendor Name,Contract Description,Administering Department,Ship To Location,Borough,PO Total Amount,,
SMALL PURCHASE,2113680,STANDARD,TRI-STATE PUMP & MOTOR INC.,BOSTON RD-SECOR-0254 overhaul house pump in building #2 **REQ 1557753**,Bronx Property Management,BOSTON RD-SECOR-0254,BRONX,"$3,500.00",,
SMALL PURCHASE,2113681,STANDARD,TRI-STATE PUMP & MOTOR INC.,BRONX RIVER-0533 overhaul 2 house pumps and 2 motors at building #2 **REQ 1559213**,Bronx Property Management,BRONX RIVER-0533,BRONX,"$7,870.00",,
SMALL PURCHASE,2113683,STANDARD,PALAK DIWAN DBA/RKG BUILDERS INC,BRONX RIVER-0533 installing chain link fence 100x8 ft. in the compound area behind building #9 **REQ 1559215**,Bronx Property Management,BRONX RIVER-0533,BRONX,"$4,950.00",,
SMALL PURCHASE,2113686,STANDARD,NY NEW RVT CORP,"BORGIA BUTLER-0435 repairing roll down gate and frame cover, replace 8 led lights **REQ 1559672**",Bronx Property Management,BUTLER-0435,BRONX,"$6,575.00",,
SMALL PURCHASE,2113688,STANDARD,7 STAR INFRATECH CORP,ST MARY'S PARK-0673 repairing fence at 670 Cauldwell ave front of maintenance office buildings **REQ 1559905**,Bronx Property Management,ST MARY'S PARK -0673,BRONX,"$4,990.00",,
SMALL PURCHASE,2113694,STANDARD,PALAK DIWAN DBA/RKG BUILDERS INC,PELHAM PARKWAY-0586 CLEANING COMPACTOR ROOMS AT WILLIAMSBRIDGE #2325 AND 2355 **REQ 1559120**,Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$8,200.00",,
SMALL PURCHASE,2113699,STANDARD,MSG BUILDERS LLC,GOUVERNEUR MORR-0239 removing bulk from basement at the building #9 **REQ 1560001**,Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$4,940.00",,
SMALL PURCHASE,2113701,STANDARD,GLP & SONS INC,THROGGS NECK-0218 replacing shower panels at 10 move-out court cases apartments**REQ 1559300**,Bronx Property Management,THROGGS NECK-0218,BRONX,"$9,995.00",,
SMALL PURCHASE,2113722,STANDARD,HI TOUCH PAINTING CORP.,"MILL BROOK-0570 button-up 3 move-out apartments, changing window balance,door locks,oulet covers, smoke detectors, installing medicine cabinet and tub glaze in 165 St Ann-3G and 3H, 530E 137str-11G **REQ 1554815**",Bronx Property Management,MILL BROOK-0570,BRONX,"$9,860.00",,
SMALL PURCHASE,2113737,STANDARD,SLAL CONSTRUCTION INC,Ft. Independence C.C. - Remove and install commercial refrigerator @ community center; PROPER057598,Bronx Property Management,FT.INDEPEND. CC-C308,BRONX,"$9,965.00",,
SMALL PURCHASE,2113747,STANDARD,TEJVIR CONSTRUCTION INC,EDENWALD-0214 repairing tripping hazard with asphalt throughout the area around building 1160 229th Str **REQ 1559461**,Bronx Property Management,EDENWALD-0214,BRONX,"$4,980.00",,
SMALL PURCHASE,2113799,STANDARD,MSG BUILDERS LLC,MILLBROOK-REPAIR WINDOW WELL WITH CEMENT & INSTALL NEW METAL GRID NEAR BLDG 3-(REQ# 1559309),Bronx Property Management,MILL BROOK-0570,BRONX,"$9,525.00",,
SMALL PURCHASE,2113800,STANDARD,RENTALS 4 YOU LLC,"MITCHEL-BUTTON UP MO'S 6-3D, 9-14H, 3-20D & 2-10D-REPAIR DOORS, LOCKS, TUB ENCLOSURE & RECAULK-(REQ# 1557333)",Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$9,975.00",,
SMALL PURCHASE,2113810,STANDARD,TRI-STATE PUMP & MOTOR INC.,JOHN ADAMS -0248 installing 3 20 inch exhaust fans at Adams houses **REQ 1557552**,Bronx Property Management,JOHN ADAMS-0248,BRONX,"$6,860.00",,
SMALL PURCHASE,2113818,STANDARD,ROSENWACH TANK CO LLC,"GUN HILL-0579 ROOF TANK CLEANING AND EPOXY PATCH ""Req 1560642",Bronx Property Management,GUN HILL-0579,BRONX,"$3,150.00",,
SMALL PURCHASE,2113825,STANDARD,APOLO BUILDERS INC,"CASTLE HILL-0431 Button Up Move Out ""Req 1559619",Bronx Property Management,CASTLE HILL-0431,BRONX,"$9,760.00",,
SMALL PURCHASE,2113828,STANDARD,SIMRAN RENOVATIONS INC,"CLASON POINT-0208 Install 2 new cameras in mgmt office, 2 new cameras ""Req 1556086",Bronx Property Management,CLASON POINT-0208,BRONX,"$4,980.00",,
SMALL PURCHASE,2113843,STANDARD,BHARTA CONSTRUCTION CO.,"DANIEL WEBSTER-0231 Install floor tile in apartment ""Req 1561500",Bronx Property Management,DANIEL WEBSTER-0231,BRONX,$875.00,,
SMALL PURCHASE,2113892,STANDARD,GOLD CITY CONTRACTING CORP,"PELHAM PARKWAY-0586 landscaping 225 sq.ft. around 840 Astor, cutting grass, removing debris and tree limbs, pruning shrubs and managing flower beds **REQ 1558207**",Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$5,862.00",,
SMALL PURCHASE,2113896,STANDARD,7 STAR INFRATECH CORP,PELHAM PARKWAY -0586 repairing the fence 2400 sq.ft. around 910 Mace ave **REQ 1559564**,Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,995.00",,
SMALL PURCHASE,2113904,STANDARD,SIMRAN RENOVATIONS INC,SOUND VIEW-0537 installing 2 housing signs at building #1 and #9 **REQ 1560995**,Bronx Property Management,SOUND VIEW-0537,BRONX,"$4,920.00",,
SMALL PURCHASE,2113905,STANDARD,VARIANT 1 CONSTRUCTION CORP,FOREST HOUSES-0535 INSTALLING 2 BIG SIGN BOARDS NEAR BUILDINGS #1 AND #2 **REQ 1559893**,Bronx Property Management,FOREST HOUSES-0535,BRONX,"$4,950.00",,
SMALL PURCHASE,2113907,STANDARD,ABLE NY CONSTRUCTION CORP,"MORRISANIA AIR-0385 cleaning roof, boiler room at community center and also canopies **REQ 1559699**",Bronx Property Management,MORRISANIA AIR -0385,BRONX,"$4,100.00",,
SMALL PURCHASE,2113912,STANDARD,TRI-STATE PUMP & MOTOR INC.,SOTOMOYAOR HOUSES-0222 installing 5HP motor at 2125 Glebe str **REQ 1561212**,Bronx Property Management,SOTOMAYOR HOUSES - 0222,BRONX,"$1,800.00",,
SMALL PURCHASE,2113914,STANDARD,LIBERTY DESIGN & CONSTRUCTION INC.,"GOUVERNEUR MORR-0239 button-up 2 apartments at building 4 - 20C and building 3 - 7C, repalcing medicine cabinet, window gards, outlet/switch covers,passage locks, mailbox cylinders, curtain rods and etc **REQ 1560373**",Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$4,995.00",,
SMALL PURCHASE,2113916,STANDARD,CROMA TECH CONSTRUCTION INC,"WDENWALD-0214 stripping 6 move-out apartments and maintenance button up in all of them, fixing window balances, bathroom accessories, faucets, outlets **REQ 1558957**",Bronx Property Management,EDENWALD-0214,BRONX,"$4,995.00",,
SMALL PURCHASE,2113918,STANDARD,CITY 1 CONSTRUCTION CORP,"PATTERSON HOUSES-0522 button up 2 move out apartments after fire damage, installing new kitchen cabinets, window gurads, tub closure, bathroom appliences, repairing bathroom walls, and caulking around bath tub and sink etc. **REQ 1560716**",Bronx Property Management,PATTERSON HOUSES-0522,BRONX,"$9,960.00",,
SMALL PURCHASE,2113920,STANDARD,HI TOUCH PAINTING CORP.,"MITCHEL TRN CTR-SD06 button -up 4 move-out apartments, installing medicine cabinets, door locks and hardware window balances **REQ 1560786**",Bronx Property Management,MITCHEL TRN CTR-SD06,BRONX,"$9,880.00",,
SMALL PURCHASE,2113939,STANDARD,CITY 1 CONSTRUCTION CORP,MILLBROOK-INSTALL 3 NEW WINDOWS & REPAIR 6 BROKEN WINDOWS IN MO 640-15C-(REQ# 1557031),Bronx Property Management,MILL BROOK-0570,BRONX,"$9,950.00",,
SMALL PURCHASE,2113945,STANDARD,ABLE NY CONSTRUCTION CORP,BUTLER-REPAIR DOG STATIONS @ BLDGS 1368 & 1408 -(REQ# 1559845),Bronx Property Management,BUTLER-0435,BRONX,"$4,923.00",,
SMALL PURCHASE,2113957,STANDARD,JA QUALITY CONSTRUCTION CORPORATION,"FOREST-INSTALL DRAIN COVERS IN MCKINLEY BASEMENTS IN BLDGS 730, 731, 750 & 751-(REQ# 1558300)",Bronx Property Management,FOREST HOUSES-0535,BRONX,"$4,920.00",,
SMALL PURCHASE,2113960,STANDARD,BHUPI CONSTRUCTION INC,PELHAM-INSTALL ROLL DOWN GATE @ GROUNDSHOP-(REQ# 1559056),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$7,230.00",,
SMALL PURCHASE,2113972,STANDARD,ALFA OMEGA CONSTRUCTION INC,MARBLEHILL-REPLACE HIGH ALTITUDE BULBS IN SOC OFFICE & MAINT. SHOP IN BLDG 5220-(REQ# 1559169),Bronx Property Management,MARBLE HILL-0638,BRONX,"$9,825.00",,
SMALL PURCHASE,2113976,STANDARD,HI TOUCH PAINTING CORP.,FOREST-INSTALL TWO DOUBLE HANGING WINDOWS & REPLACE TWO GLASSES @ 965-11H-(REQ# 1559169),Bronx Property Management,FOREST HOUSES-0535,BRONX,"$4,880.00",,
SMALL PURCHASE,2113982,STANDARD,UNITED CITY CONTRACTORS CORP,"BX RIVER-REPLACE OLD & INSTALL NEW EXHAUST FANS IN BLDGS 1, 3 & 8-(REQ# 1559294)",Bronx Property Management,BRONX RIVER-0533,BRONX,"$4,995.00",,
SMALL PURCHASE,2113984,STANDARD,SIMRAN RENOVATIONS INC,SOUNDVIEW-INSTALL ROLL DOWN METAL GATE MOTOR @ GARAGE AREA @ 1690-(REQ# 1559777),Bronx Property Management,SOUND VIEW-0537,BRONX,"$4,780.00",,
SMALL PURCHASE,2113995,STANDARD,VARIANT 1 CONSTRUCTION CORP,SOUNDVIEW-INSTALL CERAMIC FLOOR TILES IN RECEPTION AREA @ MGMT OFFICE-(REQ# 1560415),Bronx Property Management,SOUND VIEW-0537,BRONX,"$4,950.00",,
SMALL PURCHASE,2114012,STANDARD,PK CONSTRUCTION SERVICES INC,GOV MORRIS II-0280 replacing exhaust fan in a tank room at building #9 **REQ 1557584**,Bronx Property Management,GOV. MORRIS II-0280,BRONX,"$4,130.00",,
SMALL PURCHASE,2114013,STANDARD,ERCRIS CONSTRUCTION CORP,SOTOMAYOR HOUSES-0222 cleaning and sanitizing entire area in the palster shop and glazier shop at 1471 Watson ave **REQ 1561304**,Bronx Property Management,SOTOMAYOR HOUSES - 0222,BRONX,"$4,922.00",,
SMALL PURCHASE,2114022,STANDARD,BHUPI CONSTRUCTION INC,"EASTCHESTER-REMOVE GREASE, DIRTY WATER & DEBRIS FROM THE CRAWLSPACE-(REQ# 1558563)",Bronx Property Management,EASTCHESTER-0313,BRONX,"$9,545.00",,
SMALL PURCHASE,2114024,STANDARD,ALL DESIGN CONTRACTING INC,GUNHILL-REMOVE & REPLACE ROLL DOWN GATE FOR GARAGE @ BLDG #6-(REQ# 1558140),Bronx Property Management,GUN HILL-0579,BRONX,"$7,010.00",,
SMALL PURCHASE,2114025,STANDARD,5 BORO BUILDERS INC,ADAMS-REMOVE ALL TRASH FROM THE LAWNS & CUTTING THE LAWNS AROUND BLDG 4-(REQ# 1559327),Bronx Property Management,JOHN ADAMS-0248,BRONX,"$4,930.00",,
SMALL PURCHASE,2114030,STANDARD,7 SEAS INFRATECH CORP,PELHAM-CLEAN & SANITIZE LAUNDRY ROOM & COMPACTOR-(REQ# 1560396),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$4,980.00",,
SMALL PURCHASE,2114034,STANDARD,SIMRAN RENOVATIONS INC,CLASON PT-REPAIR BLACK FENCE & REPLACE BROKEN PARTS NEAR BLDG 2-(REQ# 1560952),Bronx Property Management,CLASON POINT-0208,BRONX,"$4,850.00",,
SMALL PURCHASE,2114046,STANDARD,ARORA CONTRACTING CORP,"MORRIS-INSTALL FLOOR TILES ON CERTAIN FLOORS IN BLDGS 6, 7, 8 & 9 HALLWAYS-(REQ# 1561316)",Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$3,740.00",,
SMALL PURCHASE,2114047,STANDARD,SAT KARTAR CONSTRUCTION INC,MELROSE-REPAIR FENCE THROUGHOUT DEVELOPMENT-(REQ# 1562590),Bronx Property Management,MELROSE-0523,BRONX,"$4,990.00",,
SMALL PURCHASE,2114048,STANDARD,JASMEEN CONSTRUCTION CORP,"GOV MORRIS II-0280 ceaning out, power washing and sanitizing the basement at building #6 **REQ 1562469**",Bronx Property Management,GOV. MORRIS II-0280,BRONX,"$4,975.00",,
SMALL PURCHASE,2114051,STANDARD,PALAK DIWAN DBA/RKG BUILDERS INC,BRONX RIVER-0533 repairing the metal fence 20 ft x 4 ft around the building #8 **REQ 1562297**,Bronx Property Management,BRONX RIVER-0533,BRONX,"$4,970.00",,
SMALL PURCHASE,2114053,STANDARD,ABLE NY CONSTRUCTION CORP,"MITCHEL-REPAIR HANDRAIL LEADING INTO COMPACTOR ROOM, BLACK IRON GATE & REMOVE GARBAGE BLOCKAGE FROM HOPPER CHIMNEY-(REQ# 1562626)",Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$9,745.00",,
SMALL PURCHASE,2114059,STANDARD,HARIJOT CONSTRUCTION CORP,BRONX RIVER-0533 repairing slop sink on 7th floor and the lobby at 1609 E 174 Str with cement about 230 sq.ft. **REQ 1562332**,Bronx Property Management,BRONX RIVER-0533,BRONX,"$4,985.00",,
SMALL PURCHASE,2114061,STANDARD,NY NEW RVT CORP,MOTT HAVEN-0244 removing floor tile due to flooding and repairing frain cover in the ground shop at Mott Haven **REQ 1562813**,Bronx Property Management,MOTT HAVEN-0244,BRONX,"$4,790.00",,
SMALL PURCHASE,2114062,STANDARD,AM RESTORATION INC,MELROSE-0523 removing old catch basin and installing new joint of catch basins with cement with 16 sq.ft. work area **REQ 1562925**,Bronx Property Management,MELROSE-0523,BRONX,"$4,950.00",,
SMALL PURCHASE,2114070,STANDARD,TRUE STAR CONSTRUCTION CORP,ST MARY'S PARK-0673 pumping out the water and removing old ejector pump and installing new one **REQ 1557660**,Bronx Property Management,ST MARY'S PARK -0673,BRONX,"$4,995.00",,
SMALL PURCHASE,2114074,STANDARD,LIBERTY DESIGN & CONSTRUCTION INC.,"BORGIA BUTLER-0435 button-up 4 move-out apartemts, installing all interior doors 24x80, window guards, medicine cabinets, outlet covers, smoke alarms and etc **REQ 1561404**",Bronx Property Management,BUTLER-0435,BRONX,"$9,949.00",,
SMALL PURCHASE,2114109,STANDARD,MP EMPIRE STATE HEATING AND PLUMBING,"PELHAM PARKWAY-0586 installing 2 exhaust fans, sump pump and a circulating HW pump tank room **REQ 1560240**",Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$8,550.00",,
SMALL PURCHASE,2114112,STANDARD,BHUPI CONSTRUCTION INC,PELHAM-REPAIR CEILING WITH CEMENT IN SIX BLDGS-(REQ# 1559143),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$8,300.00",,
SMALL PURCHASE,2114117,STANDARD,HOPE CONTRACTORS INC,MONROE-INSTALL 8 LED LIGHT BULBS & COVERS IN MAINTENANCE SHOP-(REQ# 1561726),Bronx Property Management,JAMES MONROE-0234,BRONX,"$4,865.00",,
SMALL PURCHASE,2114119,STANDARD,G MULTANI CONSTRUCTION CORP,"MOTT HAVEN-REMOVE BROKEN ROLL DOWN GATE & INSTALL NEW GATE @ BLDG 3, 4 & 6 IN BASEMENT ENTRANCE-(REQ# 1562911)",Bronx Property Management,MOTT HAVEN-0244,BRONX,"$9,781.00",,
SMALL PURCHASE,2114124,STANDARD,P&S CONTRACTING NY CORP,"UNION-CLEAN, FILL UP HOLES & PUT BLACK TOP @ 1325 FRANKLIN-(REQ# 1560054)",Bronx Property Management,UNION AVE E.163-0753,BRONX,"$4,920.00",,
SMALL PURCHASE,2114128,STANDARD,SAHARA CONSTRUCTION CORP,SOTOMAYOR-CLEAN & SANITIZE THE BASEMENT @ 1471 WATSON AVE-(REQ# 1563029),Bronx Property Management,SOTOMAYOR HOUSES - 0222,BRONX,"$2,980.00",,
SMALL PURCHASE,2114135,STANDARD,JEET CONSTRUCTION CORP,MARBLEHILL-REPAIR & REPLACE AC STAND & CAGE @ ELEV. MECH SHOP-(REQ# 1561940),Bronx Property Management,MARBLE HILL-0638,BRONX,"$4,990.00",,
SMALL PURCHASE,2114139,STANDARD,HIGHSTAR CONSTRUCTION CORP,"MARBLEHILL-REMOVE DEBRIS, GARBAGE, FURNITURE & CLEAN @ 69-13D-(REQ# 1562107)",Bronx Property Management,MARBLE HILL-0638,BRONX,"$4,699.00",,
SMALL PURCHASE,2114142,STANDARD,SHARA CONSTRUCTION CORP,"SOTOMAYOR-REPAIR METAL HANDRAIL IN 4 BLDGS, BLACK FENCE & REINSTALL SOME FENCE IN SECTION 2-(REQ# 1563295)",Bronx Property Management,SOTOMAYOR HOUSES - 0222,BRONX,"$9,760.00",,
SMALL PURCHASE,2114147,STANDARD,TRI-STATE PUMP & MOTOR INC.,HEATING DEPT-INSTALL 3 EJECTOR PUMPS @ ST MARY'S-(REQ# 1563078),Bronx Property Management,ST MARY'S PARK -0673,BRONX,"$9,356.00",,
SMALL PURCHASE,2114150,STANDARD,GOLD CITY CONTRACTING CORP,CLASON PT-INSTALL FLOOR TILES IN HALLWAYS IN BLDG 1710-(REQ# 1562081),Bronx Property Management,CLASON POINT-0208,BRONX,"$4,937.50",,
SMALL PURCHASE,2114152,STANDARD,EFFICIENT CONSTRUCTION CORP,"BUTLER-INSTALL TWO INVERTERS AC'S, BRACKETS & RUBBER SLEEVES IN MANAGEMENT OFFICE-(REQ# 1561415)",Bronx Property Management,BUTLER-0435,BRONX,"$9,925.00",,
SMALL PURCHASE,2114161,STANDARD,TITAN RENOVATION INC,ST MARY'S-INSTALL NEW VENTILATION FANS IN BLDGS 665 & 595-(REQ# 1560058),Bronx Property Management,ST MARY'S PARK -0673,BRONX,"$8,402.00",,
SMALL PURCHASE,2114163,STANDARD,VARIANT 1 CONSTRUCTION CORP,"BUTLER-REPAIR 12 BENCHES AROUND BLDGS 4, 5 & 6 & REPLACE BROKEN WOOD-(REQ# 1561416)",Bronx Property Management,BUTLER-0435,BRONX,"$4,960.00",,
SMALL PURCHASE,2114166,STANDARD,NYEVERGREEN CONSTRUCTION CORP,"UNION-REPAIR THE GUTTERS, FIX THE LEAKS & SEAL @ BLDGS 881 & 550-(REQ# 1561472)",Bronx Property Management,UNION AVE E.163-0753,BRONX,"$4,950.00",,
SMALL PURCHASE,2114168,STANDARD,MOHINDER CONSTRUCTION CORP,FT INDEPENDENCE-INSTALL FLOOR TILES ON THE 4TH FL @ BLDG 2663-(REQ# 1562209),Bronx Property Management,FT INDEPENDENCE-0308,BRONX,"$2,700.00",,
SMALL PURCHASE,2114170,STANDARD,SEAN CONTRACTING CORP.,UNION-CLEAN STOPPAGE & SANITIZE THE BASEMENT @ 855 CAULDWELL-(REQ# 1562491),Bronx Property Management,UNION AVE E.163-0753,BRONX,"$4,980.00",,
SMALL PURCHASE,2114171,STANDARD,PALAK DIWAN DBA/RKG BUILDERS INC,MONROE-INSTALL EJECTOR SEWAGE PUMP IN TANK ROOM @ BLDG 810-(REQ# 1562822),Bronx Property Management,JAMES MONROE-0234,BRONX,"$3,975.00",,
SMALL PURCHASE,2114172,STANDARD,SIMRAN RENOVATIONS INC,"FOREST-BUTTON UP MO'S 750-9H, 980-8E & 905-3F-CHANGE COVERS, KNOBS, CABINETS & APT DOORS-(REQ# 1563111)",Bronx Property Management,FOREST HOUSES-0535,BRONX,"$9,760.00",,
SMALL PURCHASE,2114180,STANDARD,SAINI CONSTRUCTION CORP,SOUNDVIEW-INSTALL FLOOR TILES & COVE BASE IN MAINT. AREA HALLWAY-(REQ# 1562653),Bronx Property Management,SOUND VIEW-0537,BRONX,"$5,695.00",,
SMALL PURCHASE,2114185,STANDARD,FALCON BUILDERZ INC,EASTCHESTER-INSTALL NEW PLANTER BOXES WITH TOP SOIL IN THE BACK OF SENIOR CENTER-(REQ# 1563278),Bronx Property Management,EASTCHESTER-0313,BRONX,"$9,995.00",,
SMALL PURCHASE,2114188,STANDARD,NYEVERGREEN CONSTRUCTION CORP,"UNION AVE E.163-0753 installing 17 signs ""Access to the main sprinkler"" and 17 signs ""No Smoking"" signs at 881 Polite Ave **REQ 1563507**",Bronx Property Management,UNION AVE E.163-0753,BRONX,"$4,985.00",,
SMALL PURCHASE,2114193,STANDARD,HIGHSTAR CONSTRUCTION CORP,SOUNDVIEW-REMOVE & CLEAN GARBAGE & DEBRIS FROM BASEMENTS IN 4 BLDGS-(REQ# 1562659),Bronx Property Management,SOUND VIEW-0537,BRONX,"$4,897.00",,
SMALL PURCHASE,2114197,STANDARD,TEJVIR CONSTRUCTION INC,PELHAM-REPAIR 8 BENCHES AROUND SIX BUILDINGS-(REQ# 1563218),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,980.00",,
SMALL PURCHASE,2114203,STANDARD,AM RESTORATION INC,UNION-INSTALL CEMENT PATCH WORK IN THE BASEMENT @ 950 UNION-(REQ# 1563458),Bronx Property Management,UNION AVE E.163-0753,BRONX,"$1,495.00",,
SMALL PURCHASE,2114204,STANDARD,VARIANT 1 CONSTRUCTION CORP,MORRIS-INSTALL 2 PARTITIONS WITH DOORS & HARDWARE IN WOMEN'S BATHROOM-(REQ# 1563519),Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$4,870.00",,
SMALL PURCHASE,2114211,STANDARD,GURU NANAK 1313 ENTERPRISE INC,MURPHY-REPAIR DAMAGED 10' IRON FENCE @ 1010E 178TH ST-(REQ# 1563937),Bronx Property Management,MURPHY CONSOLIDATED-0447,BRONX,"$4,295.00",,
SMALL PURCHASE,2114219,STANDARD,EMPIRE CITY DESIGN INC,"GUNHILL-CLEAN & REPAIR THREE CATCH BASINS @ OR NEAR BLDGS 3, 5 & 6-(REQ# 1563664)",Bronx Property Management,GUN HILL-0579,BRONX,"$4,975.00",,
SMALL PURCHASE,2114222,STANDARD,101 GLASS LLC DBA/101 CONSTRUCTION,PATTERSON-REPLACE ALL WINDOWS & FRAMES IN FIRE JOBS @ 281-11B & 360-5B-(REQ# 1563720),Bronx Property Management,PATTERSON HOUSES-0522,BRONX,"$9,915.00",,
SMALL PURCHASE,2114225,STANDARD,LOVPREET CONSTRUCTION CORP,MURPHY-REPAIR ROOF @ 1010-21G & 21 F-(REQ# 1563989),Bronx Property Management,MURPHY CONSOLIDATED-0447,BRONX,"$6,580.00",,
SMALL PURCHASE,2114233,STANDARD,EFFICIENT CONSTRUCTION CORP,SACKWERN-CHANGE 8 LED LIGHT BULBS IN STORE ROOM IN MGMT OFFICE-(REQ# 1556232),Bronx Property Management,SACK-WERN-0506,BRONX,"$1,660.00",,
SMALL PURCHASE,2114235,STANDARD,FA UNITED CORP,SOUNDVIEW-CLEAN OUT THE CABINET STORAGE ROOM-(REQ# 1563139),Bronx Property Management,SOUND VIEW-0537,BRONX,"$3,262.00",,
SMALL PURCHASE,2114236,STANDARD,JUS PAINT & TILE INC.,"GUNHIL-PRESSURE WASH COMPACTOR ROOMS IN BLDGS 4, 5 & 6-(REQ# 1563333)",Bronx Property Management,GUN HILL-0579,BRONX,"$4,920.00",,
SMALL PURCHASE,2114242,STANDARD,JEET CONSTRUCTION CORP,SACK-WERN-CUT THE GRASS & WEEDS AROUND BLDG 1710-(REQ# 1563931),Bronx Property Management,SACK-WERN-0506,BRONX,"$4,989.00",,
SMALL PURCHASE,2114254,STANDARD,NY NEW RVT CORP,"MITCHEL-CLEAR SLOP SINK STOPPAGES, REPAIR WAX GASKET, CAULK TUB, SINK & TOILET @ 2-5G-(REQ# 1563144)",Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$9,860.00",,
SMALL PURCHASE,2114269,STANDARD,KALRA CONSTRUCTION CORP,"PELHAM PARKWAY-0586 cutting the grass, picking up debris around 4 buildings: 2354, 2355, 2323, 2385 **REQ 1564296**",Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,900.00",,
SMALL PURCHASE,2114273,STANDARD,KALRA CONSTRUCTION CORP,PELHAM PAKWAY-0586 repaing ceilings with concrete at the basements at building #2354 and #2255 total 445 sq.ft. **REQ 1564294**,Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,850.00",,
SMALL PURCHASE,2114274,STANDARD,VARIANT 1 CONSTRUCTION CORP,"PARKSIDE-INSTALL 3 WINDOW CAGES FOR AC IN KITCHEN, MAINT. AREA & STOREROOM-(REQ# 1563669)",Bronx Property Management,PARKSIDE-0580,BRONX,"$4,920.00",,
SMALL PURCHASE,2114275,STANDARD,M-1 CONSTRUCTION INC,"MORRIS-REPAIR BLACK FENCE, REPLACE BROKEN PARTS & FIX EDGE OF FENCE-(REQ# 1564093)",Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$4,850.00",,
SMALL PURCHASE,2114300,STANDARD,M-1 CONSTRUCTION INC,PARKSIDE-0580 installing 2 new housing sign boards at the corner of building 660 Arnw Str and 665 Arnow Str **REQ 1563675**,Bronx Property Management,PARKSIDE-0580,BRONX,"$4,985.00",,
SMALL PURCHASE,2114301,STANDARD,VARIANT 1 CONSTRUCTION CORP,PARKSIDE-REMOVE USELESS STUFF FROM MAINT. AREA TO DIFFERENT AREA & CLEAN ROOM & HALLWAY-(REQ# 1563672),Bronx Property Management,PARKSIDE-0580,BRONX,"$4,950.00",,
SMALL PURCHASE,2114305,STANDARD,"STRAWTOWN REPAIRS, LLC",MITCHEL-REBUILD 4 MAILBOX BANKS & REPAIR 2 MAILBOX @ BLDG 303-(REQ# 1564476),Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$2,850.00",,
SMALL PURCHASE,2114310,STANDARD,LMAO CONSTRUCTION CORP,JOHN MITCHEL-0249 installing new stainless steel main entrance door with hardware at 1790 Story Ave **REQ 1564501**,Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$4,995.00",,
SMALL PURCHASE,2114311,STANDARD,SIMRAN RENOVATIONS INC,"MORRIS-INSTALL WALL TILES IN MEN'S BATHROOM, SINK & TOILET SEAT @ MGMT OFFICE-(REQ# 1564098)",Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$4,920.00",,
SMALL PURCHASE,2114312,STANDARD,SANDLAS CONTRACTING INC,SOUND VIEW-0537 repairing damaged fence curbs and base around the development 450 ft **REQ 1563095,Bronx Property Management,SOUND VIEW-0537,BRONX,"$4,980.00",,
SMALL PURCHASE,2114313,STANDARD,FA UNITED CORP,"SOUND VIEW-0537 repairing the gate outside of the office building and spreading top soil around the area, also repairing 5 steps to motor room at building 1676 Seward ave **REQ 1563132**",Bronx Property Management,SOUND VIEW-0537,BRONX,"$4,074.96",,
SMALL PURCHASE,2114315,STANDARD,RENTALS 4 YOU LLC,"MITCHEL-CLEAN & DISPOSE ALL GARBAGE FROM ROOF, REPAIR DRAIN COVERS & INSTALL 4 AC'S IN MGMT-(REQ# 1564456)",Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$9,975.00",,
SMALL PURCHASE,2114332,STANDARD,M-1 CONSTRUCTION INC,SOUND VIEW-0537 installing 2 sign boards at maintenance area and at the corner of building #8 **REQ 1564652**,Bronx Property Management,SOUND VIEW-0537,BRONX,"$4,950.00",,
